Text,Label
Kdo sploh je to in zakaj mislite da to kogarkoli briga?,0
"Bravo Janez Janša,socialističnim lažnivim miloševičem in socialističnim levičarskim evropejcem je poštenje,ponos,vest in čast do sosedov,prijateljev in sodržavljanov, mračen kot negativna nevihtna noč.",5
"Bruselj, ni Slovenija, kjer si upa vse, tam so ga pa že siti in so ga spregledali. Ugled Slovenije je že itak zapravil! Preveč škode je že napravil in čas je za odhod in seveda njegovih nekaj podrepnikov.",0
Tale model ni čist frišen. In žalostno ampak resnično... zastopa vse nas.,4
"Tudi janša živi v blagostanju! Mal denarja od orožja,pa kaka provizija,....Se mi Urška kar smili,saj ne more bit srečna pri takem človeku.Včasih sem ga še toleriral,sedaj pa se vid ,da je že star in že preveč bluzi.Prepir,žaljenje na vsakem koraku,taki postajajo žleht starčki na stara leta",0
"Lahko noč! Upam da zjutraj ko dobim časopis zagledam sliko Janeza Janše čez celo prvo stran. Obrobljeno s črnim. V LEVEM kotu spodaj pa črn trakec. Entok bom žalosten, da bom naredil veselico z 100 litri vina in odojkom!",5
"Še dobro , da ni bilo v živo...si kar predstavljam strahopetca , kako oba lazita pripita ob tla in tanka , kot žiletka med sedeži v bruslju proti izhodu.....Sam tudi to ne bi pomagalo , ker bi ju izdala arjavo armena sled specifičnih noriških vonjav...",0
Ne vem kako se evropskim politikom sploh da prepirati s tem klovnom.,4
"Bravo Jansa, tako se govori! Nismo bili in ne bomo hlapci evropskih rdece pofarbanih levicarjev, ki zasluzijo po 1000eur na dan, da nam solijo pamet!!! Dosti nam je taksnih kaviar levicarjev kjer se ti dobesedno kopajo v denarju a na milione evropejcev danes strada v Sloveniji pa po zaslugi izrojene levice ljudje po 40 letih dela dobesedno stradajo in zivotarijo na izdelkih pred iztekom roka!",0
"Janša je nerazumljeni genij. Čez tisoč let bodo zgodovinarji potrdili, da je imel genialne ideje, ampak komunisti, ki so prežali na njega izza vsakega vogala, ga niso razumeli. Pa tudi večina ostalega sveta ne.",0
"Razumljeni ali nerazumljeni. Jaz bom samo vesel, ko ga ne bomo več gledali. Enkrat. upam zelo.",0
Brez vpletenosti najvišjih državnih organov v posel z mamili ne bi uporabniki tako zlahka nabavili drogo.,0
Vsaka od teh 28 ton bo kljub uspešni raciji še vedno našla svoj končni cilj.Le zaslužil bo nekdo drug.Žal tko je.Nobene krize ne bo med uporabniki.,0
"Belgija je vodilna vstopna točka za kokain, ki je bil poslan v Evropo. Samo v belgijsko pristanišče Antwerpen je bilo leta 2018 namenjenih 50 ton kokaina.",0
"To gre v nadaljnjo redistribucijo, prekupčevalcem izbranim od elite",0
Tole pa bo zaloga vsaj za eno leto,0
"Sliši se, kot da bi bil Kacin zadolžen za šifriranje...",0
Zaprte gostile so problem,0
"Medtem ko v zdravstvu podirajo plačne rekorde, ima velik del prebivalstva še vedno omejen dostop do zdravnikov in bolnišnic.",0
"Starši teh študentov, so za časa življenja njihovih let, težje živeli, pa nikomur jamrali, pa mislili na samomor..",0
"Pa kako lahko imajo študentje finančne težave , ko jim je pa ja ta vlada delila bonbončke za glasove !? Ta vlada nima vpogleda v realno življenje , ki pa je veliko drugačno od nekega namišljenega ali virtualnega , ker deluje brez predhodnih analiz in realnih podatkov ! Domišlja si , da bodo vsi , ki jim je ta vlada dodelila bonbončke neizmerno hvaležni in bodo na volitvah dali glas zanje , pa s to miloščino ne morejo preživeti !",0
"A sta ta dva pripadnika iste skupnosti kot oni 4, ki so za par sto evrov umorili 70 letnika?",0
Ali se je iz kakšne cevi še kadilo?,0
"Naše sodstvo je na nivoju vrtca, kjer se grebejo kdo bo prej napredoval in kje bo kdo prej katerega potunkal. Zato takšne akcije nimajo učinka, če se gre zgolj za prekrškovni postopek...",0
Ravno iz teh krogov prihajajo krvniki Slava Knaflja iz Grosuplja.,5
"Bravo pulcija, huda kriminalca ste ujel. Kok sta jih pobila, kok denarja sta ukradla... Pulcaji, a ne bi šli mal v parlament. Aja, ne ugriznt v roko k vas futra. Brez skrbi, ne futra vas parlament ampak mi davkoplačevalci.",0
"Glede na namontirana daljnogleda na puški je sumiti,da sta ""fanta""člana ostrostrelcev,ki streljajo v tarče(za sedaj še ne v ljudi)na 600 metrov.In še iz Grosupljega sta.Mogoče sta dobra pomočnika tistega,ki tam trenira z sinom!",0
"Evropa spoznava slovenskega bolnika. Ja, je hudo in je neozdravljiv.",0
"Sram vas bodi Fajonova, Jovova ter Grošelj. Nihče vas ni volil zato, da boste v tujini lagali o lastni državi.",0
"Sram naj vas bo janšisti, da v Evropo pošiljate več kot 20 let star dogodek v branjenju vašega kriminala v sedanjem času. Poslali te manipulacijski posnetek o osebi katero so nabunkali zaradi prešuštva ne zaradi njegove politične pripadnosti ali novinarskih člankov. Pokvarjenci hinavski in lažnivi.",5
"Čas je,da se oglasi psihiater,da poda mnenje o opravilni sposobnosti vodenja vlade ,ker tole ne pelje nikamor",0
"še dobro ,da v bruslju niso predvajali videa,če bi videli kako grdo ravnamo z njim bi nas lahko prijavili,pa bi nam ga socialna odvzela",0
GOTOVI SMO Janša si je kar prisvojil državo Slovenijo in zdaj nam dela sramoto. Ne vem za vas ampak od kje njemu pravica da mene spravlja v sramoto Janša spokaj z tvojo sekto in se tistih par SMC hlapcev odpelji in da vas ne vidimo več v Sloveniji,5
Do kdaj bomo še gledali to sramoto od Jajota?! DOL Z VLADO!!!,0
"Heroji so bili vedno v manjšini. Bravo Janša, samo tako naprej. Folk je prestrašen, išče bližnjice, se nerad izpostavi, to delaš za nas, že čez 10 let boš glavni dasa, samo da mati narava opravi svoje v nekem predelu Ljubljane.",5
"Dali so mu, koliko 10, 15 minut za razpravo o lutkovni predstavi v Sloveniji, ki se vleče že najmanj od leta 1994 dalje in uspešno (kot vidimo po komentarjih) poneumlja Slovenske državljane in pere mlajše generacije. Potem pa mu še ne predvajajo posnetka, zahteva ga pa ne en lolek, temveč predsednik Vlade neke države in to zavrnejo. Pravilno da se je izklopil, to je še najmanj.",0
"Blamaža našega naroda za blamažo s strani JJ-ja. Ta človek nam je že in nam še bo povzročil tolikk škode, da si misliti ne moremo.",0
"Če se bojijo enega video posnetka, se ne rabimo več pogovarjat. Vse so povedali. Ljudje niso neumni.",0
"Bruselski politiki niso nic drugega,kot nova europska burzuazija,nesramna,samodopadljiva. . . . . .Tale izjava ni sovrazna,nego analiticna . . . .",0
Nepotizem v najčistejši obliki,0
"Tadva sta pa povsod kot,da bi bila kaj posebnega.Aja saj res on je sin od Davida in Viktorije Becham.",0
"Največja pomorska bitka v tej vojni, a ni bitka za Midway?",0
"Generacija vem, zato sem to tudi napisal. Sramota Slovenska je naš predsednik vlade in vsi njegovi podrepniki, o RKC pa se sploh ne splača razpravljat.",0
Zanimiva tema a žal zelo slabo napisana. Očitno google translate.,0
"Ko si bil mlad si se kaj pametnega prebral. Sedaj se pa vidi, da ne beres nic.",0
Japanci so jih demontiral v koščke. Zato so jim pa odvrgli tiste dve ta debele.,0
"Koncno enkrat dober clanek, vse pohvale avtorju",0
"Ja ne pomeni da boste izgubili bitko ali vojno, izgubili pa boste življenje.",0
"Zato, slabo leto kasneje ZDA odvrgle nuklearno bombo na Japonsko. Toliko o zmagi",0
"Potrebno je vse odpreti, izdati splošna higienska priporočila, napotke v primeru okužbe, rizičnega stika in določene časovno omejene omejitve za dogodke, kjer se zbira masa ljudi (klubi, športni dogodki). Ljudje morajo začnejo nazaj živeti. To, da se ljudem prepoveduje delo in se jim omejuje gibanje, je zločin.",0
"Kakorkoli, jaz še vedno ne razumem naših visokih procentov pozitivnih testov! Tu nekaj ne štima, in PIKA.",0
Očitno sestre lahko vse te nevarnosti prenašajo za bistveno manj denarja. Moja znanka je za mesec dni dela na covid oddelku dobila 200 Eur dodatka.,0
Šarati po nosu otroku vsak dan..lepo te prosim. A niso celo strokovnjaki trdili da je asimptomatske ljudi brezveze testirati s hitrimi testi.,0
"Udobno v oranžni fazi. Če se šole v ponedeljek ne odprejo, pričakujem odstope v strokovni skupini.",0
"Visok odstotek je zato ker se s pcr testi potrjuje pozitivne s hitrih testov, pri računanju % pa se ne upošteva negativnih hitrih testov.",0
Zakaj bi testirali zdrave?,0
Stroški so zanemarljivi napram omejevanju in nadomestilom.,0
Ker se bo to lahko izkoriščalo za manjkanje v šoli!,0
"Z veliko nočjo virus ni deloval? Govorimo o virusi, ki je eno in projektu, ki je nekaj drugega.",0
Janša je gotof.,0
"Razdvajalec naroda je s svojimi zalitvami uzalil vse drugace mislece ljudi in stranke, zato se ne cudim, da ne more sestaviti koalicije. To se mu sedaj mascuje.",0
Tudi jaz semtakoj za tehnično vlado. Po možnosti iz ene od severnih držav.,0
To so ti Turčini....?,1
"To se vidi kako majo musl.iči mnenje o ženskah, kje jim je mesto",0
"Še dobro, da niso poleg privlekli še šporget, da skuha turški kafe.",0
"Polozaj zensk v turciji je slab, vse so na kavcu",0
"Lahko je srečna, da jo kot predstavnico Evrope niso simbolično postavili na vse štiri. In ona je to šele doma skapirala ???",2
Fajonka bi pa dobila metlo v roke,2
"Bo že prebolela... Za 28.500 evrov na mesec plus dodatek za rekreacijo, bi marsikatera sedela na betonskih tleh....",0
Haha kakšne papke imamo v Bruslju. Sramota.,3
Hahah ovi se norca dela,0
